v000675 aborto
v000901 idade
v000847 ideia
v000655 idiota
v000181 idoso
v000307 ignorar
v000509 igual
v000264 imaginar
v000094 impedir
v000263 impor
v000355 importante
v000482 importar
v000955 imposição
v000846 imposto
v000107 imprensa
v000689 imune
v000142 imunidade
v000276 imunização
v000580 imunizante
v000146 imunizar
v000397 imunológico
v000954 incentivar
v000327 incluir
v000114 indicar
v000118 índice
v000654 individual
v000532 indústria
v000653 induzir
v000508 ineficácia
v000579 ineficaz
v000131 infarto
v000213 infecção
v000224 infectar
v000612 inflamação
v000254 informação
v000237 informar
v000611 iniciar
v000268 início
v000729 injeção
v000728 injetar
v000531 inocular
v000727 insistir
v000396 instagram
v000900 insumo
v000610 inteiro
v000899 interessar
v000209 interesse
v000609 internação
v000761 internacional
v000578 internado
v000395 internar
v000455 inútil
v000898 inventar
v000652 invés
v000651 investigação
v000421 investigar
v000897 investir
v000306 isolamento
v000577 isolar
v000896 italiano
v000253 ivermectina
v000608 jeito
v000382 jogar
v000650 jogo
v000649 jornal
v000411 jornaldacidadeonline
v000845 jornalismo
v000262 jornalista
v000052 jovem
v000844 juntar
v000895 justiça
v000326 justificar
v000688 justificativa
v000185 laboratório
v000607 lado
v000894 legal
v000275 lei
v000301 lembrar
v000274 ler
v000801 letal
v000175 letalidade
v000530 levantar
v000169 levar
v000233 liberar
v000103 liberdade
v000555 ligar
v000953 light_skin_tone_e
v000800 link
v000760 lista
v000893 literat
v000454 livre
v000394 lixo
v000576 lobby
v000843 local
v000141 lockdown
v000554 lógico
v000220 longo
v000687 loucura
v000507 lucrar
v000952 lucrativo
v000420 lucro
v000371 lugar
v000419 lutar
v000252 mãe
v000144 maioria
v000726 mais
v000354 mal
v000251 mandar
v000892 mandato
v000891 manipulação
v000799 manipular
v000273 manter
v000453 mão
v000725 marra
v000049 máscara
v000191 massa
v000090 matar
v000648 matéria
v000145 mau
v000759 medicação
v000287 medicamento
v000686 medicina
v000036 médico
v000104 medida
v000758 médio
v000305 medo
v000300 meio
v000353 menos
v000606 mentar
v000381 mentir
v000380 mentira
v000282 mercado
v000481 merda
v000798 mero
v000054 mês
v000031 mesmo
v000130 mídia
v000951 mielite
v000553 milagroso
v000082 milhão
v000219 milhar
v000842 mínimo
v000950 ministério
v000174 ministro
v000111 miocardite
v000352 momento
v000797 monte
v000013 morrer
v000685 mortalidade
v000019 morte
v000452 morto
v000089 mostrar
v000529 motivo
v000229 mrna
v000506 mudar
v000370 mulher
v000437 mundial
v000022 mundo
v000505 mutação
v000757 nacional
v000480 narrativa
v000325 natural
v000949 ncbi
v000575 necessário
v000684 necessidade
v000179 negacionista
v000345 negar
v000724 negativo
v000436 negócio
v000435 nenhum
v000228 news
v000948 nih
v000465 nível
v000947 nlm
v000451 nome
v000286 normal
v000369 notícia
v000161 noticiar
v000647 notificação
v000646 notificar
v000035 novo
v000184 número
v000081 óbito
v000645 objetivo
v000057 obrigar
v000070 obrigatoriedade
v000048 obrigatório
v000796 observar
v000723 óbvio
v000351 ocorrer
v000841 ocultar
v000464 oferecer
v000528 oficial
v000379 olhar
v000605 olho
v000450 onda
v000946 opção
v000434 opinião
v000840 ordem
v000113 org
v000574 organismo
v000527 órgão
v000344 ouvir
v000232 paciente
v000160 pagar
v000722 página
v000100 pai
v000050 país
v000683 palavra
v000040 pandemia
v000644 pânico
v000643 paralisia
v000207 parar
v000223 parecer
v000150 parte
v000504 partir
v000056 passaporte
v000084 passar
v000552 pau
v000756 paulista
v000945 paz
v000642 pé
v000173 pedir
v000051 pegar
v000890 pele
v000755 pena
v000099 pensar
v000168 pequeno
v000503 perceber
v000139 perder
v000944 perfil
v000641 pergunta
v000410 perguntar
v000640 pericardite
v000463 perigo
v000212 perigoso
v000721 período
v000281 permitir
v000526 perna
v000125 pesquisa
v000551 pesquisar
v000004 pessoa
v000418 pessoal
v000433 pfizer
v000839 piada
v000432 picada
v000682 piorar
v000754 placebo
v000462 plano
v000838 pleno
v000243 poder
v000292 police_car_light_e
v000573 política
v000393 politicar
v000098 político
v000392 ponto
v000044 população
v000889 pôr
v000159 porcaria
v000943 porra
v000550 pós
v000285 positivo
v000250 possível
v000409 possuir
v000753 postagem
v000502 postar
v000639 pouco
v000024 povo
v000837 prática
v000208 prazo
v000053 precisar
v000368 preciso
v000043 precoce
v000367 prefeito
v000222 preferir
v000836 prejudicar
v000366 prender
v000638 preocupação
v000942 preocupante
v000299 preocupar
v000549 preparar
v000069 presidente
v000365 pressa
v000572 pressão
v000835 pretender
v000681 prevenção
v000941 prevenir
v000940 preventivo
v000888 prever
v000088 primeiro
v000720 principal
v000795 prisão
v000939 privado
v000039 problema
v000479 processar
v000604 processo
v000719 procurar
v000603 produto
v000284 produzir
v000834 profissional
v000261 proibir
v000548 projeto
v000236 prometer
v000718 promover
v000571 pronto
v000417 propaganda
v000637 proposta
v000087 próprio
v000833 proteção
v000140 proteger
v000794 protesto
v000391 protocolo
v000938 prova
v000478 provar
v000317 provocar
v000364 próximo
v000156 publicar
v000093 público
v000680 puro
v000832 quantidade
v000717 quarentena
v000636 quarto
v000525 queda
v000010 querer
v000336 questão
v000887 questionamento
v000132 questionar
v000635 rápido
v000634 raro
v000793 rato
v000390 razão
v000106 reação
v000335 real
v000501 realidade
v000570 realizar
v000831 rebanho
v000076 receber
v000937 recomendação
v000602 recomendar
v000461 reconhecer
v000378 recusar
v000267 rede
v000716 reduzir
v000172 reforço
v000477 registrar
v000886 regra
v000218 relação
v000377 relacionar
v000272 relatar
v000449 relato
v000830 relatório
v000071 remédio
v000885 renomado
v000569 repetir
v001000 reportagem
v000408 representar
v000389 resfriar
v000343 resolver
v000633 respeitar
v000679 respeito
v000678 respirador
v000547 responder
v000524 responsabilidade
v000298 responsabilizar
v000448 responsável
v000407 resposta
v000999 restaurante
v000792 resto
v000546 restrição
v000126 resultado
v000376 retirar
v000431 revelar
v000476 revista
v000632 revistaoeste
v000829 ridículo
v000752 rim
v000020 risco
v000884 rna
v000715 roubar
v000375 rua
v000601 ruim
v000883 rumble
v000751 russo
v000012 saber
v000227 sair
v000998 salvador
v000127 salvar
v000416 sangue
v000997 sanguíneo
v000117 sanitário
v000828 saudar
v000060 saudável
v000045 saúde
v000996 secretário
v000827 seguinte
v000096 seguir
v000183 segundo
v000068 segurança
v000102 seguro
v000136 semana
v000995 senado
v000826 senador
v000297 senhor
v000631 senhora
v000882 senso
v000211 sentido
v000202 sentir
v000568 sequela
v000350 sério
v000825 serviço
v000167 servir
v000824 significar
v000714 significativo
v000406 simples
v000677 síndrome
v000324 sintoma
v000195 sistema
v000500 site
v000545 situação
v000750 sobreviver
v000138 social
v000342 sociedade
v000124 sofrer
v000523 solução
v000522 soro
v000713 sorte
v000712 statu
v000341 status
v000374 súbito
v000260 submeter
v000936 substância
v000316 suficiente
v000600 sugerir
v000935 sujeito
v000994 sujo
v000934 super
v000993 superar
v000791 suposto
v000499 surgir
v000630 surto
v000629 suspeitar
v000823 suspeito
v000266 suspender
v000475 syringe_e
v000388 taxa
v000992 técnico
v000460 tecnologia
v000080 tempo
v000164 tentar
v000567 teoria
v000340 terceiro
v000881 termo
v000933 terrível
v000163 testar
v000073 teste
v000259 thinking_face_e
v000217 tipo
v000291 tirar
v000498 todo
v000003 tomar
v000880 tomarei
v000628 tomo
v000932 torcer
v000190 tornar
v000790 total
v000265 trabalhar
v000544 trabalho
v000931 trair
v000749 trancar
v000991 tranquilo
v000930 transformar
v000249 transmissão
v000323 transmitir
v000879 transparência
v000990 transverso
v000021 tratamento
v000226 tratar
v000283 trazer
v000929 triste
v000474 trombone
v000180 trombose
v000928 turma
v000989 tutelar
v000627 tv
v000014 twitter
v000334 último
v000189 único
v000878 uol
v000789 urgência
v000748 urgente
v000030 usar
v000108 uso
v000599 utilizar
v000788 vac
v000038 vachina
v000787 vachinas
v000001 vacina
v000009 vacinação
v000123 vacinal
v000002 vacinar
v000333 valer
v000988 valor
v000147 variante
v000987 varíola
v000497 velho
v000986 vencer
v000626 venda
v000110 vender
v000363 veneno
v000016 ver
v000091 verdade
v000315 verdadeiro
v000676 vergonha
v000086 vez
v000405 vezes
v000085 via
v000985 vice
v000046 vida
v000877 video
v000248 vídeo
v000927 viral
v000473 virar
v000876 virologista
v000015 vírus
v000984 vista
v000149 vítima
v000247 viver
v000747 vivo
v000625 volta
v000598 voltar
v000362 voluntário
v000566 vontade
v000430 votar
v000565 voto
v000983 winking_face_e
v000875 world
v000982 zinco
